"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17024336","2017-05-22"," SM-G920L 64GB ","갤럭시 S6","150000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6045.jpg","판매가 완료된 상품 입니다."
"17024343","2017-05-22"," TG-L900S ","루나S","165000","요금할인약정 가능","SKT","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6458.jpg","N/A"
"17024348","2017-05-22"," LG-F310LR ","엘지 지엑스 GX로밍","30000","요금할인약정 가능","LG U+","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5926.jpg","판매가 완료된 상품 입니다."
"17024360","2017-05-22"," SM-G935L 128GB ","갤럭시 S7 엣지","550000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6478.jpg","N/A"
"17024366","2017-05-22"," SM-A700L ","갤럭시A7","100000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6020.jpg","판매가 완료된 상품 입니다."
"17024381","2017-05-22"," SHV-E330S 16GB ","갤럭시 S4 LTE-A","75000","요금할인약정 가능","SKT (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5708.jpg","N/A"
"17024383","2017-05-22"," SM-G920L 32GB ","갤럭시 S6","140000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6030.jpg","판매가 완료된 상품 입니다."
"17024386","2017-05-22"," LGM-G600K ","G6 64GB","500000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6522.jpg","판매가 완료된 상품 입니다."
"17024392","2017-05-22"," SM-T580 ","갤럭시탭A 10 2016","250000","요금할인약정 가능","","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6307.jpg","N/A"
"17024400","2017-05-22"," SM-G930S 32GB ","갤럭시 S7","335000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6269.jpg","N/A"
